                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4982,                 3.1532,                 1.4471,                0.68895,                0.61567,                 0.6801,                0.46411,                0.95984,                 2.5607,                 1.0575,             0.00021816,             0.00021816,             0.00021816
                      2,                0.76572,                0.88995,                0.97139,                0.80084,                0.88051,                0.93027,                0.69049,                0.74825,                0.99398,                0.91743,             0.00044321,             0.00044321,             0.00044321
                      3,                0.68152,                0.62085,                0.92862,                0.91864,                0.86892,                0.96377,                0.73386,                0.70742,                0.87663,                0.89995,               0.000666,               0.000666,               0.000666
                      4,                0.64376,                0.55666,                0.91187,                0.93813,                0.90341,                0.97505,                 0.7353,                0.77884,                0.74264,                0.95633,             0.00088655,             0.00088655,             0.00088655
                      5,                0.61959,                 0.5001,                0.90401,                0.87339,                0.87219,                0.94269,                0.70374,                0.75941,                0.93736,                0.92471,               0.000891,               0.000891,               0.000891
                      6,                0.60957,                0.46766,                 0.8969,                0.95555,                0.92589,                0.98297,                0.75044,                0.71423,                0.66275,                0.88764,              0.0008865,              0.0008865,              0.0008865
                      7,                0.58415,                0.44195,                0.88973,                0.97417,                0.98996,                0.99156,                0.75746,                0.71225,                0.48792,                0.88767,               0.000882,               0.000882,               0.000882
                      8,                0.58702,                0.44501,                0.89685,                0.98017,                 0.9464,                 0.9779,                0.75378,                0.67797,                0.49629,                0.86251,              0.0008775,              0.0008775,              0.0008775
                      9,                0.57355,                0.41624,                0.89094,                0.98806,                0.99007,                0.99174,                0.79098,                0.61742,                0.39614,                0.86454,               0.000873,               0.000873,               0.000873
                     10,                0.56376,                0.40736,                0.88858,                0.98001,                0.97842,                0.98666,                0.78513,                0.65717,                0.44041,                0.86788,              0.0008685,              0.0008685,              0.0008685
                     11,                0.54431,                0.39434,                0.87922,                0.98822,                0.98457,                0.99222,                0.79394,                0.61645,                0.37572,                0.85955,               0.000864,               0.000864,               0.000864
                     12,                0.54537,                0.38804,                0.88019,                0.99418,                0.99222,                 0.9937,                0.79558,                0.59985,                0.38015,                0.85052,              0.0008595,              0.0008595,              0.0008595
                     13,                0.53373,                0.37801,                 0.8746,                0.98536,                0.99775,                0.99399,                0.79839,                0.62395,                0.37896,                0.86803,             0.00085501,             0.00085501,             0.00085501
                     14,                0.53899,                0.37996,                0.88707,                0.98935,                0.99191,                0.99279,                0.79307,                0.60551,                0.39518,                 0.8463,             0.00085051,             0.00085051,             0.00085051
                     15,                0.54277,                0.37531,                0.88048,                0.99555,                0.99051,                0.99384,                0.80055,                0.59812,                0.36034,                0.83821,             0.00084601,             0.00084601,             0.00084601
                     16,                0.52692,                0.36678,                0.87414,                0.98441,                0.99344,                0.99391,                 0.8049,                0.58951,                0.37648,                0.84221,             0.00084151,             0.00084151,             0.00084151
                     17,                0.50896,                0.35097,                0.86133,                0.98867,                0.99775,                0.99395,                0.79701,                0.59731,                0.34693,                0.84558,             0.00083701,             0.00083701,             0.00083701
                     18,                 0.5113,                0.35588,                 0.8714,                0.99471,                0.99333,                0.99416,                0.79892,                0.59395,                 0.3509,                0.83468,             0.00083251,             0.00083251,             0.00083251
                     19,                0.51958,                0.34861,                0.87378,                0.96272,                0.99333,                0.97349,                 0.7874,                0.59397,                0.40434,                0.83719,             0.00082801,             0.00082801,             0.00082801
                     20,                0.51958,                0.34331,                0.87021,                0.99408,                0.99222,                0.99302,                0.79459,                0.59433,                0.35102,                0.83379,             0.00082351,             0.00082351,             0.00082351
                     21,                0.51426,                 0.3445,                0.87155,                 0.9899,                0.99333,                0.99385,                 0.8072,                0.59841,                0.35416,                0.83388,             0.00081901,             0.00081901,             0.00081901
