                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4982,                 3.1532,                 1.4471,                0.68895,                0.61567,                 0.6801,                0.46411,                0.95984,                 2.5607,                 1.0575,             0.00021816,             0.00021816,             0.00021816
                      2,                0.76614,                  0.892,                0.97152,                0.81367,                0.84811,                0.92023,                0.68984,                0.73169,                 1.0419,                0.91314,             0.00044394,             0.00044394,             0.00044394
                      3,                0.68291,                 0.6282,                0.92841,                0.90652,                0.89193,                0.96247,                0.72479,                0.70148,                0.94791,                0.90683,             0.00066822,             0.00066822,             0.00066822
                      4,                0.63705,                0.55194,                 0.9098,                0.95339,                0.96371,                0.98471,                0.76461,                0.68359,                 0.5785,                 0.8937,               0.000891,               0.000891,               0.000891
                      5,                0.61638,                0.49247,                0.90252,                 0.9499,                0.93591,                0.97866,                 0.7427,                0.70434,                0.58139,                0.91003,               0.000897,               0.000897,               0.000897
                      6,                0.60495,                0.46075,                0.89684,                0.97717,                0.99053,                 0.9926,                0.76059,                0.65661,                0.45519,                0.86484,               0.000894,               0.000894,               0.000894
                      7,                0.57916,                0.43843,                0.88665,                0.97846,                0.97766,                0.99195,                0.75755,                0.66234,                0.46878,                0.87377,               0.000891,               0.000891,               0.000891
                      8,                0.57889,                0.44896,                0.89693,                 0.9886,                0.98975,                0.99266,                0.77688,                0.63605,                0.42463,                0.84759,               0.000888,               0.000888,               0.000888
                      9,                0.57118,                0.42284,                0.89189,                0.99521,                0.98398,                0.99313,                0.78508,                0.62105,                0.40741,                0.85273,               0.000885,               0.000885,               0.000885
                     10,                 0.5658,                 0.4147,                0.88761,                0.99177,                0.98207,                0.99078,                0.79445,                0.61461,                 0.4018,                0.84609,               0.000882,               0.000882,               0.000882
                     11,                0.55387,                0.40635,                0.88206,                 0.9955,                0.99333,                0.99381,                 0.8066,                0.60082,                0.37327,                0.84968,               0.000879,               0.000879,               0.000879
                     12,                0.54454,                0.39554,                0.87906,                0.98758,                0.99509,                 0.9937,                0.78939,                0.61801,                0.38639,                 0.8572,               0.000876,               0.000876,               0.000876
                     13,                0.53807,                0.38191,                0.87775,                0.99482,                0.99181,                0.99417,                0.80387,                0.60556,                0.37323,                0.85747,               0.000873,               0.000873,               0.000873
                     14,                 0.5364,                0.37793,                0.88675,                0.99142,                0.98491,                0.99288,                0.78505,                 0.6353,                0.40973,                0.86532,                0.00087,                0.00087,                0.00087
                     15,                0.53998,                0.37003,                0.87984,                0.98953,                0.99294,                  0.993,                 0.7974,                0.60868,                0.37135,                0.85343,               0.000867,               0.000867,               0.000867
                     16,                0.52856,                0.36239,                0.87427,                  0.989,                0.99472,                0.99427,                0.80638,                0.58763,                0.35235,                0.84215,               0.000864,               0.000864,               0.000864
                     17,                0.50953,                 0.3489,                0.86253,                0.99621,                0.98508,                0.99377,                0.80794,                0.59991,                 0.3632,                0.83431,               0.000861,               0.000861,               0.000861
